cliente_id,tipo_cliente,num_transacciones,dias_activos,gasto_total,ingresos_totales,ticket_promedio,ticket_mediano,num_comercios_distintos,num_categorias_distintas,pagos_recurrentes,depositos_recurrentes,porcentaje_tdc,porcentaje_tdd,uso_credito,revolvencia,concentracion_proveedores,estacionalidad,antiguedad_meses,perfil_sintetico,transacciones_por_dia_activo,gasto_promedio_mensual,ingreso_promedio_mensual,ratio_ingreso_gasto,indice_recurrencia,diversidad_operativa,exposicion_credito,intensidad_operativa
EMP_00031,empresarial,147,251,218229.21,343967.35,1400.58,998.79,93,21,44,29,0.503,0.494,0.399,0.453,0.51,0.322,48,empresarial,0.5857,4546.44,7165.99,1.5762,0.4966,0.7755,0.4517,10.5159
EMP_00032,empresarial,352,307,327760.24,475867.99,1108.87,827.97,148,15,125,39,0.622,0.373,0.327,0.395,0.18,0.246,21,empresarial,1.1466,15607.63,22660.38,1.4519,0.4659,0.4631,0.448,11.5905
EMP_00033,empresarial,437,361,541736.47,685586.24,1128.9,997.33,96,16,107,82,0.657,0.268,0.196,0.639,0.695,0.04,85,empresarial,1.2105,6373.37,8065.72,1.2655,0.4325,0.2563,0.4973,11.9688
EMP_00034,empresarial,283,213,428200.55,629142.7,1592.71,1316.64,71,17,67,41,0.616,0.317,0.557,0.244,0.468,0.558,83,empresarial,1.3286,5159.04,7580.03,1.4693,0.3816,0.311,0.4723,11.0068
EMP_00035,empresarial,462,244,477673.5,755843.22,934.22,762.05,127,23,113,86,0.764,0.197,0.21,0.352,0.543,0.555,65,empresarial,1.8934,7348.82,11628.36,1.5823,0.4307,0.3247,0.442,11.6327
EMP_00036,empresarial,182,345,359982.91,447000.83,1702.28,1401.97,111,10,45,27,0.704,0.28,0.149,0.292,0.18,0.223,23,empresarial,0.5275,15651.43,19434.82,1.2417,0.3956,0.6648,0.3817,11.0476
EMP_00037,empresarial,217,161,207934.56,265201.42,1155.09,1048.98,114,13,78,20,0.616,0.381,0.307,0.237,0.401,0.657,95,empresarial,1.3478,2188.78,2791.59,1.2754,0.4516,0.5853,0.3867,10.4613
EMP_00038,empresarial,349,302,605086.12,893476.45,1485.48,1108.45,126,10,105,28,0.713,0.209,0.613,0.13,0.734,0.26,48,empresarial,1.1556,12605.96,18614.09,1.4766,0.3811,0.3897,0.4853,11.5655
EMP_00039,empresarial,273,189,604726.57,788371.53,2518.11,1786.84,78,14,63,56,0.309,0.691,0.365,0.281,0.88,0.364,104,empresarial,1.4444,5814.68,7580.5,1.3037,0.4359,0.337,0.3183,10.8512
EMP_00040,empresarial,423,251,514492.27,585111.91,1312.07,1083.61,92,15,99,55,0.671,0.31,0.315,0.387,0.18,0.328,62,empresarial,1.6853,8298.26,9437.29,1.1373,0.3641,0.253,0.4577,11.5728
EMP_00041,empresarial,396,232,858051.07,1358937.99,2072.1,1890.85,91,12,97,47,0.653,0.292,0.686,0.6,0.642,0.439,69,empresarial,1.7069,12435.52,19694.75,1.5837,0.3636,0.2601,0.6463,11.4282
EMP_00042,empresarial,281,192,200900.21,231641.83,663.38,564.14,61,15,47,34,0.77,0.155,0.131,0.368,0.47,0.439,43,empresarial,1.4635,4672.1,5387.02,1.153,0.2883,0.2705,0.423,10.8959
EMP_00043,empresarial,190,191,193511.48,228844.01,1155.68,1033.3,88,10,50,23,0.524,0.467,0.714,0.681,0.73,0.508,93,empresarial,0.9948,2080.77,2460.69,1.1826,0.3842,0.5158,0.6397,10.4993
EMP_00044,empresarial,268,260,331871.56,528591.15,1424.58,1275.12,130,14,86,54,0.433,0.505,0.469,0.317,0.641,0.204,71,empresarial,1.0308,4674.25,7444.95,1.5928,0.5224,0.5373,0.4063,11.1517
EMP_00045,empresarial,400,300,1166253.27,1683709.26,3158.33,2313.86,101,23,117,32,0.707,0.266,0.406,0.453,0.416,0.217,94,empresarial,1.3333,12406.95,17911.8,1.4437,0.3725,0.31,0.522,11.6953
EMP_00046,empresarial,429,238,248560.95,324337.58,618.21,522.11,60,20,86,37,0.331,0.615,0.316,0.231,0.432,0.72,60,empresarial,1.8025,4142.68,5405.63,1.3049,0.2867,0.1865,0.2927,11.5337
EMP_00047,empresarial,274,249,346292.93,440482.59,1352.34,1199.43,55,19,84,49,0.397,0.595,0.506,0.196,0.559,0.531,54,empresarial,1.1004,6412.83,8157.08,1.272,0.4854,0.2701,0.3663,11.1306
EMP_00048,empresarial,146,276,334194.92,381295.02,2596.21,1828.57,138,14,44,21,0.679,0.252,0.262,0.647,0.353,0.72,71,empresarial,0.529,4706.97,5370.35,1.1409,0.4452,1.0411,0.5293,10.604
EMP_00049,empresarial,178,192,210796.45,224461.27,1012.62,846.91,93,12,38,16,0.497,0.446,0.692,0.301,0.19,0.043,94,empresarial,0.9271,2242.52,2387.89,1.0648,0.3034,0.5899,0.4967,10.4393
EMP_00050,empresarial,387,286,551810.45,894053.49,1287.69,959.69,78,13,110,29,0.546,0.378,0.09,0.133,0.784,0.244,82,empresarial,1.3531,6729.4,10903.09,1.6202,0.3592,0.2351,0.2563,11.6144
EMP_00051,empresarial,279,290,529633.95,555862.54,1618.62,1419.85,88,18,79,28,0.79,0.17,0.297,0.707,0.807,0.199,59,empresarial,0.9621,8976.85,9421.4,1.0495,0.3835,0.3799,0.598,11.3011
EMP_00052,empresarial,282,365,367857.41,390189.36,1521.56,1116.17,57,21,92,30,0.541,0.388,0.379,0.317,0.379,0.538,6,empresarial,0.7726,61309.57,65031.56,1.0607,0.4326,0.2766,0.4123,11.5418
EMP_00053,empresarial,216,224,497371.04,754207.01,2717.92,2091.77,132,22,40,16,0.615,0.342,0.558,0.265,0.674,0.346,77,empresarial,0.9643,6459.36,9794.9,1.5164,0.2593,0.713,0.4793,10.7869
EMP_00054,empresarial,214,220,368502.84,593242.03,1699.96,1432.08,85,21,43,21,0.437,0.522,0.83,0.073,0.785,0.323,16,empresarial,0.9727,23031.43,37077.63,1.6099,0.2991,0.4953,0.4467,10.7596
EMP_00055,empresarial,459,287,1175373.79,1749438.49,2459.38,2000.46,131,15,118,80,0.219,0.773,0.182,0.443,0.433,0.277,56,empresarial,1.5993,20988.82,31239.97,1.4884,0.4314,0.3181,0.2813,11.7885
EMP_00056,empresarial,392,290,497608.42,587063.73,1210.51,858.0,96,18,66,74,0.139,0.796,0.214,0.577,0.436,0.285,52,empresarial,1.3517,9569.39,11289.69,1.1798,0.3571,0.2908,0.31,11.6412
EMP_00057,empresarial,253,216,222803.91,267059.25,1031.72,757.36,132,17,62,50,0.715,0.252,0.353,0.503,0.693,0.129,17,empresarial,1.1713,13106.11,15709.37,1.1986,0.4427,0.5889,0.5237,10.9087
EMP_00058,empresarial,339,223,487906.67,807246.18,1280.74,1143.19,102,17,108,42,0.365,0.587,0.48,0.38,0.18,0.158,65,empresarial,1.5202,7506.26,12419.17,1.6545,0.4425,0.351,0.4083,11.2332
EMP_00059,empresarial,362,275,312111.11,462565.66,865.39,793.83,117,26,69,42,0.203,0.745,0.479,0.272,0.857,0.295,113,empresarial,1.3164,2762.05,4093.5,1.4821,0.3066,0.395,0.318,11.5084
EMP_00060,empresarial,603,199,990889.81,1552081.24,1725.16,1460.44,114,11,152,127,0.487,0.451,0.466,0.373,0.18,0.368,47,empresarial,3.0302,21082.76,33023.01,1.5664,0.4627,0.2073,0.442,11.6952
EMP_00061,empresarial,207,222,248264.03,326368.56,1197.43,817.06,111,17,74,37,0.721,0.233,0.543,0.242,0.607,0.2,76,empresarial,0.9324,3266.63,4294.32,1.3146,0.5362,0.6184,0.502,10.7354
EMP_00062,empresarial,360,250,319053.11,488950.59,1061.94,911.59,104,23,94,52,0.449,0.501,0.518,0.343,0.88,0.647,119,empresarial,1.44,2681.12,4108.83,1.5325,0.4056,0.3528,0.4367,11.4076
EMP_00063,empresarial,458,300,713603.76,1189798.11,1736.17,1448.45,89,12,119,48,0.541,0.417,0.305,0.421,0.653,0.286,78,empresarial,1.5267,9148.77,15253.82,1.6673,0.3646,0.2205,0.4223,11.8307
EMP_00064,empresarial,575,212,590701.26,741587.2,871.0,678.37,145,15,156,66,0.839,0.112,0.141,0.385,0.57,0.054,38,empresarial,2.7123,15544.77,19515.45,1.2554,0.3861,0.2783,0.455,11.711
EMP_00065,empresarial,248,144,491780.0,605649.26,1946.16,1429.9,71,16,49,35,0.281,0.683,0.436,0.465,0.546,0.467,61,empresarial,1.7222,8061.97,9928.68,1.2315,0.3387,0.3508,0.394,10.4833
EMP_00066,empresarial,278,140,271622.62,284754.34,1151.82,829.04,95,17,53,41,0.28,0.658,0.563,0.107,0.337,0.426,68,empresarial,1.9857,3994.45,4187.56,1.0483,0.3381,0.4029,0.3167,10.5693
EMP_00067,empresarial,424,176,899009.53,1354299.3,2291.18,1603.94,95,12,125,30,0.602,0.333,0.664,0.057,0.77,0.389,94,empresarial,2.4091,9563.93,14407.44,1.5064,0.3656,0.2524,0.441,11.2202
EMP_00068,empresarial,165,173,174650.16,205884.97,1193.98,995.09,105,20,39,34,0.408,0.551,0.476,0.564,0.725,0.272,88,empresarial,0.9538,1984.66,2339.6,1.1788,0.4424,0.7576,0.4827,10.2593
EMP_00069,empresarial,374,236,791697.0,940204.64,1836.11,1397.18,84,21,82,56,0.244,0.744,0.263,0.646,0.255,0.271,6,empresarial,1.5847,131949.5,156700.77,1.1876,0.369,0.2807,0.3843,11.3881
EMP_00070,empresarial,689,180,1161511.41,1669236.8,1518.41,1221.29,103,20,115,105,0.677,0.293,0.601,0.387,0.6,0.205,32,empresarial,3.8278,36297.23,52163.65,1.4371,0.3193,0.1785,0.555,11.7282
EMP_00071,empresarial,389,206,761283.21,1147730.94,1924.53,1551.27,91,15,128,39,0.521,0.412,0.117,0.295,0.53,0.535,53,empresarial,1.8883,14363.83,21655.3,1.5076,0.4293,0.2725,0.311,11.2915
EMP_00072,empresarial,113,202,193737.27,249714.61,1474.65,1217.7,54,18,19,20,0.643,0.284,0.717,0.393,0.742,0.177,28,empresarial,0.5594,6919.19,8918.38,1.2889,0.3451,0.6372,0.5843,10.0357
EMP_00073,empresarial,229,221,153007.25,251451.74,700.2,576.05,95,14,71,40,0.389,0.59,0.694,0.44,0.373,0.323,6,empresarial,1.0362,25501.21,41908.62,1.6434,0.4847,0.476,0.5077,10.8319
EMP_00074,empresarial,251,318,610840.55,688252.22,2151.01,1730.66,66,17,59,21,0.273,0.652,0.566,0.491,0.622,0.341,35,empresarial,0.7893,17452.59,19664.35,1.1267,0.3187,0.3307,0.4433,11.2875
EMP_00075,empresarial,499,281,669324.37,915669.87,1357.19,973.42,50,27,140,76,0.268,0.71,0.128,0.213,0.7,0.27,55,empresarial,1.7758,12169.53,16648.54,1.3681,0.4329,0.1543,0.203,11.851
EMP_00076,empresarial,307,246,677848.51,967586.42,1961.76,1346.73,99,18,64,50,0.726,0.2,0.652,0.264,0.431,0.332,41,empresarial,1.248,16532.89,23599.67,1.4274,0.3713,0.3811,0.5473,11.2322
EMP_00077,empresarial,147,220,316501.85,451797.42,1881.65,1539.72,108,13,28,27,0.63,0.295,0.71,0.296,0.68,0.541,28,empresarial,0.6682,11303.64,16135.62,1.4275,0.3741,0.8231,0.5453,10.3841
EMP_00078,empresarial,321,221,322297.62,468466.66,1017.61,795.34,109,19,86,32,0.547,0.413,0.516,0.663,0.54,0.131,56,empresarial,1.4525,5755.31,8365.48,1.4535,0.3676,0.3988,0.5753,11.1696
EMP_00079,empresarial,347,263,294167.44,423119.55,958.9,746.44,110,13,104,67,0.521,0.403,0.547,0.584,0.557,0.17,64,empresarial,1.3194,4596.37,6611.24,1.4384,0.4928,0.3545,0.5507,11.4215
EMP_00080,empresarial,264,277,435316.73,671486.37,1854.28,1452.3,45,13,53,36,0.285,0.671,0.142,0.337,0.456,0.231,42,empresarial,0.9531,10364.68,15987.77,1.5425,0.3371,0.2197,0.2547,11.2
EMP_00081,empresarial,213,195,243987.34,379960.06,1239.71,876.79,60,14,53,18,0.564,0.406,0.822,0.243,0.466,0.056,92,empresarial,1.0923,2652.04,4130.0,1.5573,0.3333,0.3474,0.543,10.6343
EMP_00082,empresarial,719,247,1350640.14,2248974.58,2086.62,1508.68,146,16,179,61,0.91,0.025,0.506,0.131,0.869,0.3,57,empresarial,2.9109,23695.44,39455.69,1.6651,0.3338,0.2253,0.5157,12.0873
EMP_00083,empresarial,459,133,575585.45,944075.79,1306.56,1096.1,68,22,93,45,0.352,0.639,0.33,0.512,0.624,0.278,31,empresarial,3.4511,18567.27,30454.06,1.6402,0.3007,0.1961,0.398,11.0194
EMP_00084,empresarial,475,257,1030496.11,1404723.0,2164.26,1738.57,111,20,130,52,0.785,0.198,0.323,0.066,0.854,0.441,25,empresarial,1.8482,41219.84,56188.92,1.3632,0.3832,0.2758,0.3913,11.7124
EMP_00085,empresarial,308,287,441073.6,655402.46,1682.08,1389.93,77,20,58,43,0.684,0.299,0.333,0.705,0.68,0.487,49,empresarial,1.0732,9001.5,13375.56,1.4859,0.3279,0.3149,0.574,11.3896
EMP_00086,empresarial,246,230,448579.27,576694.82,1589.14,1129.94,97,14,64,43,0.735,0.215,0.564,0.406,0.698,0.183,85,empresarial,1.0696,5277.4,6784.64,1.2856,0.435,0.4512,0.5683,10.9434
EMP_00087,empresarial,270,345,266719.43,386590.47,1203.41,1053.46,79,16,49,26,0.889,0.054,0.314,0.557,0.706,0.204,33,empresarial,0.7826,8082.41,11714.86,1.4494,0.2778,0.3519,0.5867,11.442
EMP_00088,empresarial,182,197,245761.97,251884.72,1552.5,1194.55,110,19,47,38,0.344,0.589,0.432,0.56,0.795,0.269,71,empresarial,0.9239,3461.44,3547.67,1.0249,0.467,0.7088,0.4453,10.4872
EMP_00089,empresarial,598,257,1143750.25,1444111.85,2323.89,1922.18,99,15,133,55,0.28,0.648,0.506,0.637,0.815,0.489,58,empresarial,2.3268,19719.83,24898.48,1.2626,0.3144,0.1906,0.4743,11.9427
EMP_00090,empresarial,313,243,506270.21,821976.88,1376.4,1089.77,83,17,78,48,0.608,0.322,0.442,0.274,0.603,0.131,109,empresarial,1.2881,4644.68,7541.07,1.6236,0.4026,0.3195,0.4413,11.2393
EMP_00091,empresarial,544,239,926664.14,1358028.42,1760.04,1394.65,68,20,134,109,0.653,0.292,0.483,0.311,0.773,0.298,66,empresarial,2.2762,14040.37,20576.19,1.4655,0.4467,0.1618,0.4823,11.7754
EMP_00092,empresarial,275,239,351634.37,362677.32,1435.79,1244.63,102,17,94,51,0.343,0.584,0.818,0.533,0.467,0.072,36,empresarial,1.1506,9767.62,10074.37,1.0314,0.5273,0.4327,0.5647,11.0932
EMP_00093,empresarial,391,251,500508.16,683180.26,1483.76,1048.25,63,19,101,63,0.743,0.235,0.655,0.398,0.301,0.057,75,empresarial,1.5578,6673.44,9109.07,1.365,0.4194,0.2097,0.5987,11.4942
EMP_00094,empresarial,355,292,982815.66,1239808.51,2903.97,2026.82,106,24,115,60,0.598,0.344,0.869,0.384,0.761,0.082,76,empresarial,1.2158,12931.78,16313.27,1.2615,0.493,0.3662,0.617,11.5489
EMP_00095,empresarial,174,321,475401.84,738675.48,2332.57,1642.72,163,17,36,15,0.678,0.316,0.147,0.11,0.49,0.304,44,empresarial,0.5421,10804.59,16788.08,1.5538,0.2931,1.0345,0.3117,10.9305
EMP_00096,empresarial,629,245,931798.91,1021062.76,1455.86,1337.75,130,23,145,45,0.308,0.682,0.25,0.341,0.854,0.144,24,empresarial,2.5673,38824.95,42544.28,1.0958,0.3021,0.2432,0.2997,11.9454
EMP_00097,empresarial,279,290,407327.49,577868.01,1540.82,1390.61,114,20,49,36,0.766,0.216,0.554,0.056,0.282,0.123,69,empresarial,0.9621,5903.3,8374.9,1.4187,0.3047,0.4803,0.4587,11.3011
EMP_00098,empresarial,198,206,197498.01,294265.38,1048.6,889.35,93,12,48,16,0.882,0.11,0.535,0.07,0.33,0.148,57,empresarial,0.9612,3464.88,5162.55,1.49,0.3232,0.5303,0.4957,10.6162
EMP_00099,empresarial,426,287,480976.6,679620.04,1309.44,1031.07,45,14,125,51,0.533,0.39,0.782,0.51,0.532,0.328,14,empresarial,1.4843,34355.47,48544.29,1.413,0.4131,0.1385,0.6083,11.7139
EMP_00100,empresarial,328,203,529168.17,635598.25,1603.5,1123.12,61,15,107,33,0.547,0.416,0.334,0.347,0.389,0.447,62,empresarial,1.6158,8534.97,10251.58,1.2011,0.4268,0.2317,0.4093,11.1062
EMP_00101,empresarial,378,305,740056.12,1142280.8,2012.75,1765.21,128,15,103,75,0.519,0.408,0.358,0.393,0.615,0.328,38,empresarial,1.2393,19475.16,30060.02,1.5435,0.4709,0.3783,0.4233,11.6552
EMP_00102,empresarial,341,365,711922.83,1099046.73,1928.84,1399.31,74,18,98,66,0.625,0.337,0.582,0.413,0.471,0.134,14,empresarial,0.9342,50851.63,78503.34,1.5438,0.4809,0.2698,0.54,11.7318
EMP_00103,empresarial,119,238,93497.09,117639.31,883.69,658.78,77,20,23,22,0.205,0.739,0.405,0.61,0.346,0.055,45,empresarial,0.5,2077.71,2614.21,1.2582,0.3782,0.8151,0.4067,10.2514
EMP_00104,empresarial,225,124,415204.84,496586.29,2122.46,1871.56,91,23,38,38,0.52,0.454,0.698,0.3,0.18,0.03,90,empresarial,1.8145,4613.39,5517.63,1.196,0.3378,0.5067,0.506,10.2364
EMP_00105,empresarial,222,215,309990.27,452018.74,1356.57,1006.25,67,19,71,20,0.703,0.221,0.893,0.188,0.445,0.374,88,empresarial,1.0326,3522.62,5136.58,1.4582,0.4099,0.3874,0.5947,10.7733
EMP_00106,empresarial,472,313,477336.79,602762.2,930.26,821.14,63,16,91,36,0.345,0.652,0.319,0.517,0.18,0.124,81,empresarial,1.508,5893.05,7441.51,1.2628,0.2691,0.1674,0.3937,11.9032
EMP_00107,empresarial,333,275,821200.9,1024801.69,2468.29,2144.02,94,10,59,54,0.752,0.192,0.38,0.12,0.469,0.442,62,empresarial,1.2109,13245.18,16529.06,1.2479,0.3393,0.3123,0.4173,11.4249
EMP_00108,empresarial,401,259,1152970.04,1518886.53,2603.41,2293.47,72,18,139,64,0.91,0.02,0.125,0.458,0.667,0.606,71,empresarial,1.5483,16239.01,21392.77,1.3174,0.5062,0.2244,0.4977,11.5508
EMP_00109,empresarial,285,300,503368.88,665624.69,1573.05,1324.24,76,18,101,35,0.777,0.16,0.273,0.229,0.689,0.53,58,empresarial,0.95,8678.77,11476.29,1.3223,0.4772,0.3298,0.4263,11.3563
EMP_00110,empresarial,409,272,891942.59,1398165.28,1896.36,1449.79,75,19,116,56,0.539,0.395,0.168,0.184,0.735,0.194,25,empresarial,1.5037,35677.7,55926.61,1.5676,0.4205,0.2298,0.297,11.6195
EMP_00111,empresarial,308,312,572393.28,943796.71,1943.66,1626.38,109,26,73,43,0.621,0.355,0.52,0.401,0.579,0.471,31,empresarial,0.9872,18464.3,30445.06,1.6489,0.3766,0.4383,0.514,11.4731
EMP_00112,empresarial,299,296,866800.8,1292300.76,2530.63,2224.39,89,23,98,31,0.402,0.562,0.53,0.29,0.771,0.212,39,empresarial,1.0101,22225.66,33135.92,1.4909,0.4314,0.3746,0.4073,11.3908
EMP_00113,empresarial,354,329,727703.43,784635.1,1911.78,1643.86,90,21,71,40,0.91,0.079,0.149,0.156,0.316,0.094,93,empresarial,1.076,7824.77,8436.94,1.0782,0.3136,0.3136,0.405,11.6654
EMP_00114,empresarial,341,265,287287.37,357080.42,806.23,715.03,111,14,84,44,0.235,0.735,0.691,0.185,0.573,0.492,84,empresarial,1.2868,3420.09,4250.96,1.2429,0.3754,0.3666,0.3703,11.4116
EMP_00115,empresarial,813,295,2714243.4,3108202.31,3275.15,3000.19,91,16,188,126,0.843,0.156,0.547,0.322,0.706,0.476,26,empresarial,2.7559,104393.98,119546.24,1.1451,0.3862,0.1316,0.5707,12.3877
EMP_00116,empresarial,224,228,408150.25,594983.04,2203.0,1862.93,88,18,77,46,0.748,0.19,0.859,0.738,0.503,0.156,56,empresarial,0.9825,7288.4,10624.7,1.4578,0.5491,0.4732,0.7817,10.841
EMP_00117,empresarial,165,212,191650.93,271142.54,1136.83,1026.27,107,15,57,24,0.366,0.558,0.404,0.227,0.679,0.284,44,empresarial,0.7783,4355.7,6162.33,1.4148,0.4909,0.7394,0.3323,10.4626
EMP_00118,empresarial,374,339,376066.04,627436.0,913.75,680.95,112,20,109,64,0.685,0.259,0.552,0.324,0.692,0.189,51,empresarial,1.1032,7373.84,12302.67,1.6684,0.4626,0.3529,0.5203,11.7503
