cliente_id,tipo_cliente,score_empresarial,seleccionado,cluster,arquetipo,num_transacciones,dias_activos,gasto_total,ingresos_totales,ticket_promedio,ticket_mediano,num_comercios_distintos,num_categorias_distintas,pagos_recurrentes,depositos_recurrentes,porcentaje_tdc,porcentaje_tdd,uso_credito,revolvencia,concentracion_proveedores,estacionalidad,antiguedad_meses,transacciones_por_dia_activo,gasto_promedio_mensual,ingreso_promedio_mensual,ratio_ingreso_gasto,indice_recurrencia,diversidad_operativa,exposicion_credito,intensidad_operativa,perfil_sintetico
PER_01648,personal,0.364559,False,,No seleccionado,99,73,104325.54,126320.48,949.98,724.34,29,9,6,7,0.097,0.843,0.171,0.059,0.264,0.14,26,1.3562,4012.52,4858.48,1.2108,0.1313,0.3838,0.109,8.8857,personal_tradicional
PER_02821,personal,0.51567,False,,No seleccionado,27,179,25244.99,41334.42,815.29,697.3,16,8,2,1,0.532,0.423,0.194,0.044,0.139,0.306,47,0.1508,537.13,879.46,1.6373,0.1111,0.8889,0.2567,8.4834,personal_tradicional
PEL_00096,personal,0.393622,False,,No seleccionado,46,94,50655.53,78157.94,1194.06,869.48,28,6,5,1,0.487,0.468,0.035,0.065,0.227,0.343,39,0.4894,1298.86,2004.05,1.5429,0.1304,0.7391,0.1957,8.3722,personal_comportamiento_empresarial_latente
PER_00788,personal,0.144888,False,,No seleccionado,30,87,16326.59,20650.93,487.56,353.39,45,7,1,1,0.104,0.88,0.298,0.288,0.283,0.141,51,0.3448,320.13,404.92,1.2649,0.0667,1.7333,0.23,7.8675,personal_tradicional
PER_00558,personal,0.462931,False,,No seleccionado,58,59,41394.6,50813.4,633.14,470.14,26,4,5,4,0.371,0.601,0.46,0.042,0.148,0.171,10,0.9831,4139.46,5081.34,1.2275,0.1552,0.5172,0.291,8.1383,personal_tradicional
PER_00756,personal,0.440683,False,,No seleccionado,88,40,30036.4,37570.36,365.72,333.27,22,12,11,2,0.257,0.714,0.74,0.303,0.45,0.02,39,2.2,770.16,963.34,1.2508,0.1477,0.3864,0.4333,8.1665,personal_tradicional
PER_00943,personal,0.595209,False,,No seleccionado,97,69,46693.53,58351.78,582.79,422.82,11,9,11,3,0.466,0.455,0.51,0.141,0.238,0.25,44,1.4058,1061.22,1326.18,1.2497,0.1443,0.2062,0.3723,8.809,personal_tradicional
PER_01460,personal,0.270061,False,,No seleccionado,20,86,35067.31,56984.1,2009.74,1659.78,34,10,1,1,0.361,0.574,0.109,0.228,0.247,0.204,22,0.2326,1593.97,2590.19,1.625,0.1,2.2,0.2327,7.4507,personal_tradicional
PEL_00255,personal,0.403276,False,,No seleccionado,78,89,78097.26,117728.97,1090.72,969.45,35,8,8,2,0.122,0.816,0.186,0.131,0.179,0.15,42,0.8764,1859.46,2803.07,1.5075,0.1282,0.5513,0.1463,8.8455,personal_comportamiento_empresarial_latente
PER_02561,personal,0.394936,False,,No seleccionado,165,65,53825.06,74249.67,357.79,250.7,36,11,11,13,0.42,0.533,0.078,0.008,0.02,0.084,74,2.5385,727.37,1003.37,1.3795,0.1455,0.2848,0.1687,9.2804,personal_tradicional
PER_00185,personal,0.345405,False,,No seleccionado,104,71,68656.96,106778.96,598.88,508.84,15,9,12,6,0.184,0.8,0.32,0.064,0.122,0.277,35,1.4648,1961.63,3050.83,1.5553,0.1731,0.2308,0.1893,8.9072,personal_tradicional
PER_01972,personal,0.389618,False,,No seleccionado,92,81,48104.52,78924.71,459.23,348.37,35,11,5,2,0.281,0.717,0.259,0.088,0.166,0.227,7,1.1358,6872.07,11274.96,1.6407,0.0761,0.5,0.2093,8.9164,personal_tradicional
PER_00315,personal,0.433421,False,,No seleccionado,59,117,25318.52,41318.38,387.86,339.43,19,6,4,1,0.318,0.656,0.51,0.62,0.063,0.272,45,0.5043,562.63,918.19,1.6319,0.0847,0.4237,0.4827,8.8399,personal_tradicional
PER_01502,personal,0.157698,False,,No seleccionado,32,101,27926.09,46180.3,809.71,588.37,34,13,2,1,0.191,0.78,0.144,0.241,0.133,0.127,19,0.3168,1469.79,2430.54,1.6537,0.0938,1.4688,0.192,8.0812,personal_tradicional
PER_01095,personal,0.405885,False,,No seleccionado,98,76,58732.27,66765.06,643.22,465.38,19,9,5,7,0.184,0.75,0.206,0.186,0.442,0.123,74,1.2895,793.68,902.23,1.1368,0.1224,0.2857,0.192,8.9158,personal_tradicional
PER_01337,personal,0.498016,False,,No seleccionado,61,40,107768.62,159600.04,1788.17,1375.08,24,9,6,4,0.346,0.62,0.221,0.121,0.254,0.021,67,1.525,1608.49,2382.09,1.481,0.1639,0.541,0.2293,7.8002,personal_tradicional
PER_00694,personal,0.53106,False,,No seleccionado,95,53,32714.42,42737.25,403.11,282.5,37,10,6,7,0.337,0.598,0.192,0.306,0.089,0.172,35,1.7925,934.7,1221.06,1.3064,0.1368,0.4947,0.2783,8.5244,personal_tradicional
PER_00347,personal,0.483925,False,,No seleccionado,76,46,49357.18,77627.04,597.62,465.14,10,8,9,3,0.277,0.7,0.322,0.279,0.211,0.294,23,1.6522,2145.96,3375.09,1.5728,0.1579,0.2368,0.2927,8.1597,personal_tradicional
PER_01615,personal,0.5705,False,,No seleccionado,115,122,130405.66,213753.16,1313.15,967.36,26,7,12,8,0.321,0.664,0.173,0.124,0.023,0.31,77,0.9426,1693.58,2776.02,1.6391,0.1739,0.287,0.206,9.549,personal_tradicional
PEL_00410,personal,0.371202,False,,No seleccionado,34,95,15155.55,20814.73,384.01,283.89,23,8,2,1,0.395,0.561,0.645,0.089,0.095,0.076,3,0.3579,5051.85,6938.24,1.3734,0.0882,0.9118,0.3763,8.0805,personal_comportamiento_empresarial_latente
PEL_00108,personal,0.535055,False,,No seleccionado,58,83,37597.02,55037.43,555.74,465.24,5,12,7,4,0.417,0.559,0.134,0.137,0.056,0.3,68,0.6988,552.9,809.37,1.4639,0.1897,0.2931,0.2293,8.4795,personal_comportamiento_empresarial_latente
PER_01922,personal,0.283896,False,,No seleccionado,73,92,30391.13,39498.25,403.41,295.31,32,8,5,5,0.155,0.8,0.29,0.088,0.124,0.348,29,0.7935,1047.97,1362.01,1.2997,0.137,0.5479,0.1777,8.8124,personal_tradicional
PER_02351,personal,0.493744,False,,No seleccionado,49,146,53687.28,66854.46,1313.92,920.13,61,6,1,2,0.343,0.637,0.45,0.514,0.431,0.285,3,0.3356,17895.76,22284.82,1.2453,0.0612,1.3673,0.4357,8.8756,personal_tradicional
PER_00890,personal,0.475193,False,,No seleccionado,161,98,121483.15,153989.72,854.35,680.59,31,9,21,9,0.277,0.673,0.194,0.045,0.037,0.456,44,1.6429,2760.98,3499.77,1.2676,0.1863,0.2484,0.172,9.6664,personal_tradicional
PEL_00218,personal,0.536165,False,,No seleccionado,72,108,156232.89,207053.77,2381.05,2048.36,37,11,8,3,0.383,0.558,0.108,0.157,0.137,0.169,60,0.6667,2603.88,3450.9,1.3253,0.1528,0.6667,0.216,8.9589,personal_comportamiento_empresarial_latente
PER_03078,personal,0.247466,False,,No seleccionado,22,73,24217.74,29329.45,945.68,701.81,28,8,1,1,0.322,0.644,0.06,0.415,0.043,0.089,36,0.3014,672.72,814.71,1.2111,0.0909,1.6364,0.2657,7.3821,personal_tradicional
PER_00171,personal,0.319425,False,,No seleccionado,14,144,10107.08,15240.71,656.05,532.97,50,8,1,0,0.325,0.626,0.134,0.252,0.301,0.316,50,0.0972,202.14,304.81,1.5079,0.0714,4.1429,0.237,7.6094,personal_tradicional
PER_00180,personal,0.262102,False,,No seleccionado,12,135,15789.66,24202.08,1164.4,834.3,21,9,1,1,0.304,0.666,0.135,0.148,0.197,0.317,32,0.0889,493.43,756.32,1.5328,0.1667,2.5,0.1957,7.3908,personal_tradicional
PER_00613,personal,0.509276,False,,No seleccionado,49,93,52911.72,61733.09,1226.09,887.3,29,11,3,1,0.346,0.635,0.298,0.057,0.244,0.166,17,0.5269,3112.45,3631.36,1.1667,0.0816,0.8163,0.2337,8.4246,personal_tradicional
PER_02241,personal,0.402096,False,,No seleccionado,156,102,80159.54,115894.64,485.62,343.35,38,7,20,2,0.309,0.69,0.08,0.13,0.235,0.081,47,1.5294,1705.52,2465.84,1.4458,0.141,0.2885,0.173,9.6749,personal_tradicional
PER_01552,personal,0.386702,False,,No seleccionado,97,15,71588.57,90651.83,631.34,431.1,34,10,10,7,0.295,0.64,0.297,0.133,0.285,0.071,50,6.4667,1431.77,1813.04,1.2663,0.1753,0.4536,0.2417,7.2834,personal_tradicional
PER_03064,personal,0.329303,False,,No seleccionado,32,178,31313.32,41616.8,922.79,656.63,44,14,3,1,0.297,0.689,0.177,0.014,0.266,0.19,14,0.1798,2236.67,2972.63,1.329,0.125,1.8125,0.1627,8.6477,personal_tradicional
PER_00840,personal,0.522273,False,,No seleccionado,96,127,40433.31,56596.63,457.94,321.14,32,5,4,4,0.264,0.677,0.38,0.27,0.293,0.203,35,0.7559,1155.24,1617.05,1.3998,0.0833,0.3854,0.3047,9.4086,personal_tradicional
PER_02091,personal,0.582576,False,,No seleccionado,37,106,42809.41,53325.34,1083.5,875.9,20,4,4,1,0.684,0.288,0.192,0.418,0.179,0.062,37,0.3491,1157.01,1441.23,1.2456,0.1351,0.6486,0.4313,8.2746,personal_tradicional
PER_02072,personal,0.350376,False,,No seleccionado,110,52,84673.79,104931.43,653.39,579.55,39,2,7,7,0.184,0.767,0.063,0.129,0.236,0.282,50,2.1154,1693.48,2098.63,1.2392,0.1273,0.3727,0.1253,8.6519,personal_tradicional
PER_00027,personal,0.269351,False,,No seleccionado,74,93,24287.64,26989.94,396.55,321.44,37,12,2,4,0.05,0.896,0.627,0.061,0.264,0.035,31,0.7957,783.47,870.64,1.1113,0.0811,0.6622,0.246,8.8368,personal_tradicional
PER_01923,personal,0.615814,False,,No seleccionado,97,125,44040.54,71869.76,491.04,357.26,52,8,9,5,0.607,0.336,0.163,0.444,0.45,0.134,3,0.776,14680.18,23956.59,1.6319,0.1443,0.6186,0.4047,9.4031,personal_tradicional
PER_01860,personal,0.576489,False,,No seleccionado,60,136,12989.98,15919.89,259.35,218.03,25,7,5,4,0.389,0.596,0.27,0.188,0.402,0.115,46,0.4412,282.39,346.08,1.2256,0.15,0.5333,0.2823,9.0071,personal_tradicional
PER_00681,personal,0.412496,False,,No seleccionado,120,119,60435.99,62631.86,534.18,364.76,39,11,12,9,0.176,0.823,0.294,0.051,0.201,0.367,38,1.0084,1590.42,1648.21,1.0363,0.175,0.4167,0.1737,9.5667,personal_tradicional
PER_00033,personal,0.764608,True,1.0,Comerciante intensivo,215,100,197039.08,237093.31,789.27,550.85,36,9,20,12,0.369,0.628,0.075,0.399,0.325,0.125,45,2.15,4378.65,5268.74,1.2033,0.1488,0.2093,0.281,9.9759,personal_tradicional
PER_00071,personal,0.341858,False,,No seleccionado,85,94,47157.75,51049.78,498.38,425.54,24,7,11,6,0.201,0.797,0.165,0.392,0.138,0.19,49,0.9043,962.4,1041.83,1.0825,0.2,0.3647,0.2527,8.9861,personal_tradicional
PER_00323,personal,0.111624,False,,No seleccionado,21,37,6342.48,8588.55,294.44,240.98,27,7,2,1,0.14,0.827,0.35,0.101,0.28,0.28,34,0.5676,186.54,252.6,1.3541,0.1429,1.619,0.197,6.6567,personal_tradicional
PER_02788,personal,0.389684,False,,No seleccionado,72,83,52739.25,81113.13,681.64,491.68,28,5,8,2,0.306,0.637,0.064,0.351,0.155,0.263,26,0.8675,2028.43,3119.74,1.538,0.1389,0.4583,0.2403,8.6957,personal_tradicional
PEL_00178,personal,0.413321,False,,No seleccionado,57,95,31182.54,44541.06,655.87,590.32,17,6,5,3,0.196,0.804,0.206,0.24,0.278,0.065,52,0.6,599.66,856.56,1.4284,0.1404,0.4035,0.214,8.5971,personal_comportamiento_empresarial_latente
PER_01072,personal,0.570507,False,,No seleccionado,74,62,78286.04,118107.62,980.85,757.76,32,14,6,4,0.114,0.848,0.588,0.243,0.24,0.332,40,1.1935,1957.15,2952.69,1.5087,0.1351,0.6216,0.315,8.4314,personal_tradicional
PER_00052,personal,0.303838,False,,No seleccionado,50,122,41733.84,49234.16,949.45,707.22,14,6,1,4,0.209,0.742,0.071,0.167,0.196,0.099,25,0.4098,1669.35,1969.37,1.1797,0.1,0.4,0.149,8.7162,personal_tradicional
PER_01421,personal,0.318077,False,,No seleccionado,28,94,22266.47,33642.46,798.96,588.2,59,10,1,2,0.235,0.747,0.398,0.075,0.281,0.152,55,0.2979,404.84,611.68,1.5109,0.1071,2.4643,0.236,7.8759,personal_tradicional
PER_00431,personal,0.40081,False,,No seleccionado,147,98,99566.02,104835.2,696.27,618.15,31,7,9,6,0.242,0.688,0.165,0.073,0.386,0.054,71,1.5,1402.34,1476.55,1.0529,0.102,0.2585,0.16,9.5755,personal_tradicional
PER_02485,personal,0.764497,True,3.0,Negocio digital,93,95,88261.55,92573.97,872.2,673.99,25,11,4,5,0.62,0.334,0.374,0.141,0.45,0.338,21,0.9789,4202.93,4408.28,1.0489,0.0968,0.3871,0.3783,9.0866,personal_tradicional
PER_01718,personal,0.359087,False,,No seleccionado,102,117,54417.21,64477.66,452.19,374.07,26,8,10,4,0.334,0.598,0.143,0.111,0.153,0.038,50,0.8718,1088.34,1289.55,1.1849,0.1373,0.3333,0.196,9.3872,personal_tradicional
PEL_00030,personal,0.331231,False,,No seleccionado,84,34,74221.44,91248.68,943.79,736.56,23,9,2,1,0.148,0.828,0.175,0.278,0.335,0.048,4,2.4706,18555.36,22812.17,1.2294,0.0357,0.381,0.2003,7.9575,personal_comportamiento_empresarial_latente
PER_01081,personal,0.391376,False,,No seleccionado,83,56,57820.49,90024.74,649.26,516.78,25,6,4,4,0.364,0.573,0.138,0.031,0.189,0.226,20,1.4821,2891.02,4501.24,1.557,0.0964,0.3735,0.1777,8.4444,personal_tradicional
PER_00555,personal,0.298904,False,,No seleccionado,73,68,44855.46,53120.07,560.38,388.56,17,11,4,2,0.147,0.809,0.509,0.089,0.159,0.72,74,1.0735,606.15,717.84,1.1842,0.0822,0.3836,0.2483,8.5102,personal_tradicional
PER_00145,personal,0.460494,False,,No seleccionado,115,107,49917.77,74380.75,436.1,316.38,23,10,3,2,0.383,0.57,0.198,0.066,0.346,0.026,59,1.0748,846.06,1260.69,1.4901,0.0435,0.287,0.2157,9.4178,personal_tradicional
PER_01823,personal,0.21759,False,,No seleccionado,32,68,9669.58,15587.9,349.36,252.15,31,9,1,2,0.364,0.623,0.249,0.034,0.163,0.515,52,0.4706,185.95,299.77,1.6121,0.0938,1.25,0.2157,7.6857,personal_tradicional
PEL_00044,personal,0.521112,False,,No seleccionado,97,17,85667.93,128609.36,780.9,716.79,31,6,10,1,0.42,0.532,0.461,0.331,0.307,0.237,23,5.7059,3724.69,5591.71,1.5013,0.1134,0.3814,0.404,7.4085,personal_comportamiento_empresarial_latente
PER_00197,personal,0.132346,False,,No seleccionado,35,76,22557.64,29660.8,604.15,535.6,36,6,3,3,0.05,0.945,0.184,0.168,0.293,0.02,53,0.4605,425.62,559.64,1.3149,0.1714,1.2,0.134,7.8865,personal_tradicional
PER_01678,personal,0.576398,False,,No seleccionado,81,93,36007.42,50929.21,410.76,324.48,27,6,10,4,0.515,0.413,0.278,0.186,0.185,0.241,28,0.871,1285.98,1818.9,1.4144,0.1728,0.4074,0.3263,8.9272,personal_tradicional
PER_00791,personal,0.52292,False,,No seleccionado,192,97,253508.93,289374.98,1296.28,968.13,16,6,20,7,0.277,0.718,0.077,0.315,0.19,0.071,24,1.9794,10562.87,12057.29,1.1415,0.1406,0.1146,0.223,9.8323,personal_tradicional
PER_02776,personal,0.165243,False,,No seleccionado,40,126,17266.42,26706.55,449.61,393.59,18,8,4,1,0.219,0.777,0.087,0.287,0.104,0.073,15,0.3175,1151.09,1780.44,1.5467,0.125,0.65,0.1977,8.5254,personal_tradicional
PER_02789,personal,0.272058,False,,No seleccionado,94,95,33805.84,46756.0,381.72,287.86,20,10,3,4,0.134,0.844,0.043,0.232,0.044,0.312,77,0.9895,439.04,607.22,1.3831,0.0745,0.3191,0.1363,9.0973,personal_tradicional
PER_00747,personal,0.693642,True,3.0,Negocio digital,109,69,80384.86,121206.14,771.46,671.26,52,9,11,5,0.44,0.558,0.381,0.077,0.304,0.275,21,1.5797,3827.85,5771.72,1.5078,0.1468,0.5596,0.2993,8.9256,personal_tradicional
PER_00415,personal,0.186736,False,,No seleccionado,54,102,30625.59,33179.0,501.3,382.58,38,7,6,1,0.073,0.857,0.154,0.467,0.124,0.267,49,0.5294,625.01,677.12,1.0834,0.1296,0.8333,0.2313,8.6141,personal_tradicional
PER_01433,personal,0.225025,False,,No seleccionado,53,149,30092.33,30876.96,580.07,423.91,30,5,3,2,0.174,0.768,0.091,0.093,0.181,0.22,59,0.3557,510.04,523.34,1.0261,0.0943,0.6604,0.1193,8.9744,personal_tradicional
PER_00906,personal,0.594991,False,,No seleccionado,116,73,84987.68,111389.58,706.63,484.37,30,5,11,3,0.281,0.698,0.43,0.166,0.45,0.154,68,1.589,1249.82,1638.08,1.3107,0.1207,0.3017,0.2923,9.0442,personal_tradicional
PER_02203,personal,0.280571,False,,No seleccionado,20,77,6744.08,6934.71,388.88,306.83,49,6,2,1,0.419,0.525,0.343,0.184,0.02,0.318,13,0.2597,518.78,533.44,1.0283,0.15,2.75,0.3153,7.3402,personal_tradicional
PEL_00167,personal,0.158518,False,,No seleccionado,46,71,34025.05,44038.75,830.44,631.9,43,4,2,3,0.107,0.825,0.166,0.065,0.168,0.091,3,0.6479,11341.68,14679.58,1.2943,0.1087,1.0217,0.1127,8.0916,personal_comportamiento_empresarial_latente
PER_02527,personal,0.501684,False,,No seleccionado,52,90,28414.52,32353.76,655.5,462.22,21,7,3,1,0.484,0.513,0.174,0.151,0.279,0.243,83,0.5778,342.34,389.8,1.1386,0.0769,0.5385,0.2697,8.4513,personal_tradicional
PEL_00419,personal,0.345546,False,,No seleccionado,77,158,38962.4,50392.77,479.8,340.2,34,8,9,5,0.144,0.83,0.381,0.098,0.244,0.298,80,0.4873,487.03,629.91,1.2934,0.1818,0.5455,0.2077,9.4065,personal_comportamiento_empresarial_latente
PER_01809,personal,0.673891,True,3.0,Negocio digital,92,138,30674.15,45076.5,322.28,262.18,52,11,6,5,0.457,0.513,0.463,0.103,0.285,0.08,66,0.6667,464.76,682.98,1.4695,0.1196,0.6848,0.341,9.4491,personal_tradicional
PER_03076,personal,0.575389,False,,No seleccionado,62,130,42921.94,47658.12,687.63,530.96,59,10,8,5,0.366,0.56,0.46,0.271,0.311,0.26,35,0.4769,1226.34,1361.66,1.1103,0.2097,1.1129,0.3657,8.9948,personal_tradicional
PER_03035,personal,0.468265,False,,No seleccionado,83,131,51940.64,76470.59,688.15,617.42,23,8,4,2,0.314,0.642,0.12,0.287,0.1,0.047,62,0.6336,837.75,1233.4,1.4723,0.0723,0.3735,0.2403,9.2941,personal_tradicional
PEL_00198,personal,0.388538,False,,No seleccionado,66,64,69736.55,107223.53,938.89,837.39,38,8,3,1,0.071,0.892,0.248,0.234,0.213,0.37,61,1.0312,1143.22,1757.76,1.5376,0.0606,0.697,0.1843,8.3488,personal_comportamiento_empresarial_latente
PEL_00246,personal,0.603982,False,,No seleccionado,126,82,148602.25,158717.17,1051.39,734.44,69,9,12,5,0.453,0.498,0.214,0.025,0.103,0.482,70,1.5366,2122.89,2267.39,1.0681,0.1349,0.619,0.2307,9.2431,personal_comportamiento_empresarial_latente
PER_02996,personal,0.630476,False,,No seleccionado,104,56,75173.74,93595.05,733.29,568.85,14,9,2,6,0.495,0.472,0.455,0.101,0.353,0.066,11,1.8571,6833.98,8508.64,1.245,0.0769,0.2212,0.3503,8.6699,personal_tradicional
PER_02721,personal,0.560022,False,,No seleccionado,61,111,30941.62,39254.64,573.91,418.84,6,9,4,1,0.264,0.698,0.571,0.223,0.45,0.193,33,0.5495,937.62,1189.53,1.2687,0.082,0.2459,0.3527,8.8206,personal_tradicional
PER_01053,personal,0.446363,False,,No seleccionado,61,90,39814.73,53213.67,751.23,585.2,42,7,2,1,0.162,0.828,0.31,0.302,0.228,0.313,45,0.6778,884.77,1182.53,1.3365,0.0492,0.8033,0.258,8.6109,personal_tradicional
PER_02845,personal,0.532643,False,,No seleccionado,28,103,27885.16,32637.06,1029.24,931.49,20,7,2,1,0.556,0.383,0.216,0.189,0.151,0.257,14,0.2718,1991.8,2331.22,1.1704,0.1071,0.9643,0.3203,7.9673,personal_tradicional
PER_00271,personal,0.473092,False,,No seleccionado,27,69,19095.87,23284.82,684.85,604.38,7,7,1,2,0.629,0.331,0.164,0.035,0.247,0.112,70,0.3913,272.8,332.64,1.2194,0.1111,0.5185,0.276,7.5305,personal_tradicional
PER_00140,personal,0.23307,False,,No seleccionado,69,103,75955.25,107624.22,972.45,696.99,47,4,5,1,0.128,0.811,0.072,0.074,0.111,0.275,6,0.6699,12659.21,17937.37,1.4169,0.087,0.7391,0.0913,8.869,personal_tradicional
PER_02009,personal,0.622977,False,,No seleccionado,119,130,92335.38,137633.51,877.36,777.55,34,11,9,4,0.474,0.52,0.061,0.051,0.34,0.112,13,0.9154,7102.72,10587.19,1.4906,0.1092,0.3782,0.1953,9.6467,personal_tradicional
PEL_00399,personal,0.229832,False,,No seleccionado,21,152,10129.09,10782.77,486.43,360.09,30,7,1,0,0.288,0.674,0.382,0.118,0.388,0.06,25,0.1382,405.16,431.31,1.0645,0.0476,1.7619,0.2627,8.0687,personal_comportamiento_empresarial_latente
PER_00677,personal,0.633378,False,,No seleccionado,190,121,99239.46,107222.96,618.85,451.38,45,7,10,14,0.334,0.634,0.626,0.097,0.091,0.203,50,1.5702,1984.79,2144.46,1.0804,0.1263,0.2737,0.3523,10.0429,personal_tradicional
PER_02754,personal,0.232407,False,,No seleccionado,82,57,56592.74,77663.03,812.78,706.08,39,8,3,1,0.042,0.898,0.045,0.509,0.107,0.189,24,1.4386,2358.03,3235.96,1.3723,0.0488,0.5732,0.1987,8.45,personal_tradicional
PEL_00234,personal,0.397127,False,,No seleccionado,105,133,20098.54,29235.7,221.0,181.42,43,9,11,2,0.212,0.71,0.091,0.232,0.269,0.063,64,0.7895,314.04,456.81,1.4546,0.1238,0.4952,0.1783,9.5444,personal_comportamiento_empresarial_latente
PER_02623,personal,0.574584,False,,No seleccionado,74,31,57037.2,85724.05,834.37,692.09,38,6,1,3,0.391,0.559,0.216,0.343,0.096,0.239,11,2.3871,5185.2,7793.1,1.5029,0.0541,0.5946,0.3167,7.7385,personal_tradicional
PER_00292,personal,0.431934,False,,No seleccionado,67,79,37731.68,56017.75,521.48,411.23,22,9,3,2,0.683,0.269,0.199,0.047,0.081,0.031,54,0.8481,698.73,1037.37,1.4846,0.0746,0.4627,0.3097,8.5743,personal_tradicional
PER_01243,personal,0.235751,False,,No seleccionado,45,86,6247.35,9805.66,142.36,96.94,49,7,3,3,0.378,0.544,0.186,0.181,0.299,0.024,82,0.5233,76.19,119.58,1.5696,0.1333,1.2444,0.2483,8.2613,personal_tradicional
PER_01755,personal,0.647355,True,2.0,Profesionista independiente,44,48,62602.82,79989.82,1287.21,1168.68,21,6,3,1,0.494,0.434,0.194,0.525,0.107,0.132,33,0.9167,1897.06,2423.93,1.2777,0.0909,0.6136,0.4043,7.6559,personal_tradicional
PER_00600,personal,0.510065,False,,No seleccionado,76,111,53364.83,75682.69,690.17,524.55,31,9,5,2,0.314,0.659,0.307,0.088,0.407,0.303,15,0.6847,3557.66,5045.51,1.4182,0.0921,0.5263,0.2363,9.0404,personal_tradicional
PER_00230,personal,0.381906,False,,No seleccionado,143,64,46436.57,50421.83,294.65,231.82,16,7,8,9,0.135,0.791,0.417,0.215,0.354,0.555,50,2.2344,928.73,1008.44,1.0858,0.1189,0.1608,0.2557,9.1218,personal_tradicional
PER_02440,personal,0.340223,False,,No seleccionado,53,82,93852.87,136057.46,2031.28,1710.18,24,4,2,3,0.287,0.692,0.254,0.021,0.281,0.163,3,0.6463,31284.29,45352.49,1.4497,0.0943,0.5283,0.1873,8.3772,personal_tradicional
PER_01408,personal,0.191841,False,,No seleccionado,18,30,14371.56,16197.29,812.37,708.96,40,9,2,1,0.307,0.656,0.053,0.091,0.143,0.071,28,0.6,513.27,578.47,1.127,0.1667,2.7222,0.1503,6.2934,personal_tradicional
PER_01152,personal,0.464941,False,,No seleccionado,94,66,80736.84,85873.47,865.4,717.23,34,9,6,6,0.109,0.837,0.474,0.225,0.32,0.269,81,1.4242,996.75,1060.17,1.0636,0.1277,0.4574,0.2693,8.7331,personal_tradicional
